VD0T;1500 м;Миля;3000 м;2 мили;5000 м;10000 м;15000 м;Полумарафон;Марафон
30;0:08:30;0:09:11;0:17:56;0:19:19;0:30:40;1:03:46;1:38:14;2:21:04;4:49:17
31;0:08:15;0:08:55;0:17:27;0:18:48;0:29:51;1:02:03;1:35:36;2:17:21;4:41:57
32;0:08:02;0:08:41;0:16:59;0:18:18;0:29:05;1:00:26;1:33:07;2:13:49;4:34:59
33;0:07:49;0:08:27;0:16:33;0:17:50;0:28:21;0:58:54;1:30:45;2:10:27;4:28:22
34;0:07:37;0:08:14;0:16:09;0:17:24;0:27:39;0:57:26;1:28:30;2:07:16;4:22:03
35;0:07:25;0:08:01;0:15:45;0:16:58;0:27:00;0:56:03;1:26:22;2:04:13;4:16:03
36;0:07:14;0:07:49;0:15:23;0:16:34;0:26:22;0:54:44;1:24:20;2:01:19;4:10:19
37;0:07:04;0:07:38;0:15:01;0:16:11;0:25:46;0:53:29;1:22:24;1:58:34;4:04:50
38;0:06:54;0:07:27;0:14:41;0:15:49;0:25:12;0:52:17;1:20:33;1:55:55;3:59:35
39;0:06:44;0:07:17;0:14:21;0:15:29;0:24:39;0:51:09;1:18:47;1:53:24;3:54:34
40;0:06:35;0:07:07;0:14:03;0:15:08;0:24:08;0:50:03;1:17:06;1:50:59;3:49:45
41;0:06:27;0:06:58;0:13:45;0:14:49;0:23:38;0:49:01;1:15:29;1:48:40;3:45:09
42;0:06:19;0:06:49;0:13:28;0:14:31;0:23:09;0:48:01;1:13:56;1:46:27;3:40:43
43;0:06:11;0:06:41;0:13:11;0:14:13;0:22:41;0:47:04;1:12:27;1:44:20;3:36:28
44;0:06:03;0:06:32;0:12:55;0:13:56;0:22:15;0:46:09;1:11:02;1:42:17;3:32:23
45;0:05:56;0:06:25;0:12:40;0:13:40;0:21:50;0:45:16;1:09:40;1:40:20;3:28:26
46;0:05:49;0:06:17;0:12:26;0:13:25;0:21:25;0:44:25;1:08:22;1:38:27;3:24:39
47;0:05:42;0:06:10;0:12:12;0:13:10;0:21:02;0:43:36;1:07:06;1:36:38;3:21:00
